iter	Logloss	Accuracy
370	0.2189591367	0.9223785747
371	0.2186920058	0.9223785747
372	0.2185799692	0.9223785747
373	0.2184017753	0.9223785747
374	0.2182511553	0.9228325011
375	0.2182255069	0.9228325011
376	0.2181956794	0.9228325011
377	0.2181187499	0.9232864276
378	0.2181187486	0.9232864276
379	0.217774144	0.9232864276
380	0.2174813745	0.9228325011
381	0.2174142588	0.9228325011
382	0.2172301274	0.9228325011
383	0.2171211191	0.9228325011
384	0.2170187733	0.9228325011
385	0.2165727184	0.9228325011
386	0.2162455653	0.9232864276
387	0.2160725012	0.9232864276
388	0.2159881738	0.9232864276
389	0.2156785687	0.9232864276
390	0.215503175	0.9232864276
391	0.2153375136	0.9232864276
392	0.2152042005	0.9232864276
393	0.2147096794	0.9237403541
394	0.2144922698	0.9237403541
395	0.2143206449	0.9232864276
396	0.2140851745	0.9232864276
397	0.2138523371	0.9232864276
398	0.2134521866	0.9241942805
399	0.2132364992	0.9241942805
400	0.2131312669	0.9241942805
401	0.2129256568	0.9241942805
402	0.2127151867	0.9251021335
403	0.2123166308	0.9255560599
404	0.2121252543	0.9255560599
405	0.2119595301	0.9255560599
406	0.211953859	0.9255560599
407	0.2117177166	0.9264639128
408	0.2115244454	0.9264639128
409	0.2114706665	0.9264639128
410	0.2112268449	0.9264639128
411	0.2110595153	0.9264639128
412	0.2109990357	0.9264639128
413	0.2106617872	0.9264639128
414	0.2104005042	0.9264639128
415	0.2098429149	0.9264639128
416	0.209621461	0.9264639128
417	0.2094815678	0.9264639128
418	0.2093366408	0.9264639128
419	0.2090913063	0.9264639128
420	0.2086531201	0.9273717658
421	0.2086218893	0.9273717658
422	0.2082909439	0.9273717658
423	0.2080435588	0.9273717658
424	0.2079207761	0.9273717658
425	0.207551229	0.9273717658
426	0.2074536598	0.9278256922
427	0.2073090533	0.9273717658
428	0.2071290433	0.9273717658
429	0.2068892669	0.9273717658
430	0.2068131987	0.9273717658
431	0.2066675939	0.9278256922
432	0.2066617503	0.9278256922
433	0.2064945225	0.9282796187
434	0.2064923646	0.9282796187
435	0.2062823939	0.9287335452
436	0.2059173319	0.9282796187
437	0.2057137131	0.9287335452
438	0.2055551706	0.9287335452
439	0.205406563	0.9287335452
440	0.2050718761	0.9287335452
441	0.2048667652	0.9287335452
442	0.2047474574	0.9287335452
443	0.2044900484	0.9291874716
444	0.2044095495	0.9291874716
445	0.2043582185	0.9291874716
446	0.2041411526	0.9291874716
447	0.2039856717	0.9291874716
448	0.2036928104	0.9291874716
449	0.2036269445	0.9291874716
450	0.2032320169	0.9291874716
451	0.2028671585	0.9291874716
452	0.2024739264	0.9291874716
453	0.2024237417	0.9291874716
454	0.2020120215	0.9291874716
455	0.2016006471	0.9291874716
456	0.2013068691	0.9291874716
457	0.2011611264	0.9291874716
458	0.2009084369	0.9291874716
459	0.2007354757	0.9291874716
460	0.2005024927	0.9291874716
461	0.2004238682	0.9291874716
462	0.2002126003	0.9296413981
463	0.2000426727	0.9296413981
464	0.1998805734	0.9296413981
465	0.1994997046	0.9300953246
466	0.1993142182	0.9300953246
467	0.1988614128	0.9300953246
468	0.198697257	0.9300953246
469	0.198419964	0.9300953246
470	0.1980697532	0.9314571039
471	0.1979782574	0.9314571039
472	0.1978282366	0.9319110304
473	0.1976781566	0.9319110304
474	0.1975377233	0.9328188833
475	0.1973205103	0.9328188833
476	0.1970975731	0.9323649569
477	0.1968083084	0.9314571039
478	0.1966891052	0.9319110304
479	0.1965960409	0.9319110304
480	0.1964980573	0.9319110304
481	0.1963000021	0.9328188833
482	0.1960377966	0.9332728098
483	0.1959113646	0.9332728098
484	0.1957122522	0.9346345892
485	0.1955472013	0.9346345892
486	0.1952964343	0.9346345892
487	0.1950120515	0.9346345892
488	0.1949027237	0.9346345892
489	0.1947307136	0.9346345892
490	0.1942557782	0.9346345892
491	0.1941716421	0.9346345892
492	0.1940803493	0.9346345892
493	0.1939016324	0.9346345892
494	0.1938947731	0.9346345892
495	0.1937356838	0.9350885157
496	0.1933936471	0.9346345892
497	0.1932184931	0.9350885157
498	0.1930330325	0.9350885157
499	0.1927355988	0.9350885157
500	0.1925261475	0.9350885157
501	0.1923671962	0.9355424421
502	0.1922956564	0.9359963686
503	0.1919857042	0.9359963686
504	0.1917737334	0.9359963686
505	0.1916180194	0.9359963686
506	0.1914505432	0.9359963686
507	0.1913283233	0.9359963686
508	0.1909115568	0.9364502951
509	0.1905507189	0.9364502951
510	0.1902592169	0.937358148
511	0.1900392635	0.937358148
512	0.1898482348	0.9369042215
513	0.1894478628	0.937358148
514	0.1893491239	0.937358148
515	0.1891400796	0.937358148
516	0.1891353472	0.937358148
517	0.1888145197	0.937358148
518	0.1886456242	0.9378120744
519	0.1884623884	0.937358148
520	0.1883717849	0.937358148
521	0.1882954482	0.937358148
